"season","date","game.gamePk","team.name","team.id","opponent.name","opponent.id","isHome","inningLabel","person.id","person.fullName","type","group","stat.gamesStarted","stat.hits","stat.baseOnBalls","stat.inningsPitched","stat.numberOfPitches","stat.atBats","stat.battersFaced","stat.runs","stat.homeRuns","stat.earnedRuns","stat.hitByPitch","stat.intentionalWalks","stat.balls","stat.strikeOuts","stat.strikes","stat.strikePercentage","stat.balks","stat.wildPitches","stat.outs","stat.inheritedRunners","stat.inheritedRunnersScored","stat.completeGames","stat.shutouts","stat.runsScoredPer9","stat.homeRunsPer9","stat.whip","orig_seq","game_count_all","game_count_player","s_hits","s_baseOnBalls","s_inningsPitched","s_WHIP","s_starter","l5_hits","l5_baseOnBalls","l5_inningsPitched","l5_WHIP","l5_starter","lastGame"
2026,2026-03-26,823486,"Philadelphia Phillies",143,"Texas Rangers",140,TRUE,"bottom",650911,"Cristopher Sánchez","gameLog","pitching",1,3,0,6,87,21,21,0,0,0,0,0,28,10,59,0.68,0,0,18,0,0,0,0,0,0,0.5,"1",1,1,3,0,6,0.5,1,NA,NA,NA,NA,1,2026-04-23
2026,2026-03-26,823486,"Philadelphia Phillies",143,"Texas Rangers",140,TRUE,"bottom",680742,"Jonathan Bowlan","gameLog","pitching",0,1,0,1,8,4,4,0,0,0,0,0,2,0,6,0.75,0,0,3,0,0,0,0,0,0,1,"2",1,1,1,0,1,1,0,NA,NA,NA,NA,0,2026-04-12
2026,2026-03-26,823486,"Philadelphia Phillies",143,"Texas Rangers",140,TRUE,"bottom",647315,"Zach Pop","gameLog","pitching",0,0,1,1,21,3,4,0,0,0,0,0,12,0,9,0.43,0,0,3,0,0,0,0,0,0,1,"3",1,1,0,1,1,1,0,NA,NA,NA,NA,0,2026-04-12
2026,2026-03-26,823486,"Philadelphia Phillies",143,"Texas Rangers",140,TRUE,"bottom",679775,"Kyle Backhus","gameLog","pitching",0,3,0,0.333333333333333,20,4,4,3,1,3,0,0,8,0,12,0.6,0,0,1,0,0,0,0,81,27,9,"4",1,1,3,0,0.333333333333333,9,0,NA,NA,NA,NA,0,2026-04-25
2026,2026-03-26,823486,"Philadelphia Phillies",143,"Texas Rangers",140,TRUE,"bottom",661395,"Jhoan Duran","gameLog","pitching",0,1,0,0.666666666666667,12,3,3,0,0,0,0,0,3,1,9,0.75,0,0,2,1,1,0,0,0,0,1.5,"5",1,1,1,0,0.666666666666667,1.5,0,NA,NA,NA,NA,0,2026-04-11
2026,2026-03-28,823488,"Philadelphia Phillies",143,"Texas Rangers",140,TRUE,"bottom",621237,"José Alvarado","gameLog","pitching",0,1,0,1,18,4,4,0,0,0,0,0,6,2,12,0.67,0,0,3,0,0,0,0,0,0,1,"10",2,1,1,0,1,1,0,NA,NA,NA,NA,0,2026-04-25
2026,2026-03-28,823488,"Philadelphia Phillies",143,"Texas Rangers",140,TRUE,"bottom",641835,"Tim Mayza","gameLog","pitching",0,1,1,2,32,7,8,0,0,0,0,0,14,2,18,0.56,0,0,6,0,0,0,0,0,0,1,"6",2,1,1,1,2,1,0,NA,NA,NA,NA,0,2026-04-24
2026,2026-03-28,823488,"Philadelphia Phillies",143,"Texas Rangers",140,TRUE,"bottom",661395,"Jhoan Duran","gameLog","pitching",0,2,0,1,22,5,5,2,0,1,0,0,9,2,13,0.59,0,1,3,0,0,0,0,18,0,2,"7",2,2,3,0,1.66666666666667,1.8,0,NA,NA,NA,NA,0,2026-04-11
2026,2026-03-28,823488,"Philadelphia Phillies",143,"Texas Rangers",140,TRUE,"bottom",605400,"Aaron Nola","gameLog","pitching",1,5,2,5,91,20,22,3,2,3,0,0,29,7,62,0.68,0,0,15,0,0,0,0,5.4,3.6,1.4,"8",2,1,5,2,5,1.4,1,NA,NA,NA,NA,1,2026-04-20
2026,2026-03-28,823488,"Philadelphia Phillies",143,"Texas Rangers",140,TRUE,"bottom",621383,"Tanner Banks","gameLog","pitching",0,1,0,1,10,3,3,0,0,0,0,0,3,0,7,0.7,0,0,3,0,0,0,0,0,0,1,"9",2,1,1,0,1,1,0,NA,NA,NA,NA,0,2026-04-25
